date	AAPL	SPY	TSLA	COST	MCD	BX
2024-02-29	-0.018503311983357973	0.05218258599834469	0.07790058198515681	0.07209789599278293	0.004189344027499375	0.03491631976892373
2024-03-29	-0.05131351441798193	0.03271348473236246	-0.1292351892213196	-0.015132802214953611	-0.03533606703512204	0.027745854539484638
2024-04-30	-0.006702334058439785	-0.04032888055620654	0.04260765686330292	-0.011699694071603761	-0.03160345974717238	-0.10630990415335462
2024-05-31	0.13021604024859434	0.05059118012169561	-0.028371890004364797	0.12033409094078129	-0.05183403946715526	0.03333631244972746
2024-06-28	0.09557475778999747	0.03527360774818411	0.11118598382749312	0.04952269530909681	-0.009258886518256015	0.027330911606988417
2024-07-31	0.05439770554493317	0.012105676757848904	0.17278148372751168	-0.031556103692811255	0.04144488236967203	0.15490823370937878
2024-08-30	0.03236920845044877	0.02336716395836813	-0.07739044253888905	0.08561807383824172	0.08762826265069634	0.0015308353987459888
2024-09-30	0.017477604075180064	0.021009086475061833	0.22194199243379553	-0.006564625466686236	0.061053915414140736	0.0756241356721743
2024-10-31	-0.03042727665084155	-0.008934890304317156	-0.04502541757443723	-0.013919954584161176	-0.04070455390648775	0.10109622411693064
2024-11-29	0.05168039172045402	0.05964473801660275	0.3814688813287974	0.11323101014404324	0.013321585903083522	0.13919616519174038
2024-12-31	0.055151104715144283	-0.024058224947772766	0.17000811217985845	-0.05721791835172685	-0.014781066323514058	-0.0977504450558343
2025-01-31	-0.057563480284006596	0.026843668001657273	0.0018819334389859055	0.06942326469265292	-0.004094888449590384	0.027204783258594878
2025-02-28	0.025878947816463826	-0.012692702116571253	-0.27587740978744435	0.07132818350619097	0.06798525450163062	-0.08224679860302686
2025-03-31	-0.081528503858601	-0.05571448031603332	-0.11543450064850835	-0.09806381185843416	0.018951211417192138	-0.1326821843089997
2025-04-30	-0.04332113655870262	-0.00867354298903622	0.08874826362092914	0.05151235256022346	0.023321715905019413	-0.05111517367458873
2025-05-30	-0.053593351591273986	0.0628467485220554	0.2278848880068045	0.047292590087133934	-0.01814304357513441	0.053560419235511914
2025-06-30	0.021503766901162402	0.05139483142221479	-0.08312647924724337	-0.048299864066250864	-0.06379874866275492	0.0779752761319581
2025-07-31	0.011673341799355308	0.023033223186235352	-0.029559906818611204	-0.050811916893746756	0.027043872710273975	0.1562733256429396
2025-08-29	0.11968329068700823	0.020509801425661944	0.08304408473091773	0.005314777857226671	0.04487525286581251	-0.002992957746479008
2025-09-30	0.09684373922042089	0.03562686125013648	0.3320154551172614	-0.018758160914659316	-0.025265399632151353	-0.0031785272823591226
2025-10-31	0.06183662237597298	0.02383246514708981	0.026623493434070777	-0.013923749350874148	-0.01797537076271194	-0.14171833480956597
2025-11-28	0.032357187812372734	0.0019557385486361767	-0.057801822323462426	0.002347907180865638	0.04486768919602224	0.007361541107671066
2025-12-31	-0.02506724045185582	0.0007925093193223987	0.04544714880163658	-0.056097374095600894	-0.013969544457349325	0.05272503756317448
