curr_state	curr_action	next_reward	next_state
1988	-1	0	1859
1859	0	0	1739
1739	-1	0	1618
1618	1	0	1627
1627	-1	0	1506
1506	0	0	1514
1514	0	0	1522
1522	1	0	1531
1531	-1	0	1402
1402	-1	0	1401
1401	0	0	1529
1529	-1	0	1656
1656	1	0	1785
1785	-1	0	1912
1912	-1	0	2047
2047	1	0	2032
2032	1	0	2033
2033	1	0	2042
2042	-1	0	2041
2041	-1	0	2040
2040	1	0	2041
2041	1	0	2042
2042	1	0	2043
2043	0	0	1915
1915	0	0	1787
1787	-1	0	1658
1658	1	0	1659
1659	1	0	1532
1532	0	0	1404
1404	0	0	1276
1276	-1	0	1147
1147	-1	0	1018
