threshold	false_positive_rate	true_positive_rate
0.010000000000	0.030797101449	0.998251748252
0.020000000000	0.030797101449	0.998251748252
0.030000000000	0.028985507246	0.998251748252
0.040000000000	0.028985507246	0.998251748252
0.050000000000	0.028985507246	0.998251748252
0.060000000000	0.028985507246	0.998251748252
0.070000000000	0.028985507246	0.998251748252
0.080000000000	0.028985507246	0.998251748252
0.090000000000	0.028985507246	0.994755244755
0.100000000000	0.028985507246	0.994755244755
0.110000000000	0.028985507246	0.994755244755
0.120000000000	0.028985507246	0.994755244755
0.130000000000	0.028985507246	0.994755244755
0.140000000000	0.028985507246	0.994755244755
0.150000000000	0.028985507246	0.994755244755
0.160000000000	0.028985507246	0.994755244755
0.170000000000	0.028985507246	0.994755244755
0.180000000000	0.028985507246	0.994755244755
0.190000000000	0.027173913043	0.994755244755
0.200000000000	0.027173913043	0.994755244755
0.210000000000	0.027173913043	0.994755244755
0.220000000000	0.027173913043	0.994755244755
0.230000000000	0.027173913043	0.994755244755
0.240000000000	0.027173913043	0.994755244755
0.250000000000	0.027173913043	0.994755244755
0.260000000000	0.027173913043	0.994755244755
0.270000000000	0.027173913043	0.994755244755
0.280000000000	0.027173913043	0.993006993007
0.290000000000	0.027173913043	0.993006993007
0.300000000000	0.027173913043	0.993006993007
0.310000000000	0.025362318841	0.993006993007
0.320000000000	0.025362318841	0.993006993007
0.330000000000	0.025362318841	0.993006993007
0.340000000000	0.025362318841	0.993006993007
0.350000000000	0.025362318841	0.993006993007
0.360000000000	0.025362318841	0.993006993007
0.370000000000	0.025362318841	0.993006993007
0.380000000000	0.025362318841	0.993006993007
0.390000000000	0.025362318841	0.993006993007
0.400000000000	0.025362318841	0.993006993007
0.410000000000	0.025362318841	0.993006993007
0.420000000000	0.025362318841	0.993006993007
0.430000000000	0.025362318841	0.993006993007
0.440000000000	0.025362318841	0.993006993007
0.450000000000	0.025362318841	0.993006993007
0.460000000000	0.025362318841	0.993006993007
0.470000000000	0.025362318841	0.993006993007
0.480000000000	0.025362318841	0.993006993007
0.490000000000	0.025362318841	0.993006993007
0.500000000000	0.025362318841	0.993006993007
0.510000000000	0.025362318841	0.989510489510
0.520000000000	0.025362318841	0.989510489510
0.530000000000	0.025362318841	0.989510489510
0.540000000000	0.025362318841	0.989510489510
0.550000000000	0.025362318841	0.989510489510
0.560000000000	0.025362318841	0.989510489510
0.570000000000	0.025362318841	0.989510489510
0.580000000000	0.025362318841	0.989510489510
0.590000000000	0.025362318841	0.987762237762
0.600000000000	0.025362318841	0.987762237762
0.610000000000	0.025362318841	0.987762237762
0.620000000000	0.025362318841	0.987762237762
0.630000000000	0.025362318841	0.987762237762
0.640000000000	0.025362318841	0.987762237762
0.650000000000	0.025362318841	0.987762237762
0.660000000000	0.025362318841	0.987762237762
0.670000000000	0.025362318841	0.987762237762
0.680000000000	0.025362318841	0.987762237762
0.690000000000	0.023550724638	0.987762237762
0.700000000000	0.023550724638	0.987762237762
0.710000000000	0.023550724638	0.987762237762
0.720000000000	0.023550724638	0.987762237762
0.730000000000	0.023550724638	0.987762237762
0.740000000000	0.023550724638	0.987762237762
0.750000000000	0.021739130435	0.987762237762
0.760000000000	0.021739130435	0.987762237762
0.770000000000	0.019927536232	0.987762237762
0.780000000000	0.019927536232	0.987762237762
0.790000000000	0.019927536232	0.987762237762
0.800000000000	0.019927536232	0.986013986014
0.810000000000	0.019927536232	0.986013986014
0.820000000000	0.019927536232	0.986013986014
0.830000000000	0.019927536232	0.986013986014
0.840000000000	0.019927536232	0.986013986014
0.850000000000	0.019927536232	0.986013986014
0.860000000000	0.019927536232	0.986013986014
0.870000000000	0.019927536232	0.986013986014
0.880000000000	0.019927536232	0.986013986014
0.890000000000	0.019927536232	0.986013986014
0.900000000000	0.019927536232	0.986013986014
0.910000000000	0.019927536232	0.984265734266
0.920000000000	0.019927536232	0.984265734266
0.930000000000	0.018115942029	0.984265734266
0.940000000000	0.018115942029	0.982517482517
0.950000000000	0.018115942029	0.982517482517
0.960000000000	0.018115942029	0.982517482517
0.970000000000	0.018115942029	0.980769230769
0.980000000000	0.018115942029	0.980769230769
0.990000000000	0.014492753623	0.980769230769
